Min_tot,Poblacion,area_m2,Densidad_ha
4.78,681,184334.7,37
4.6,838,208504.9,40.1
5.82,600,231578.3,25.9
15.08,1179,191687.9,123.5
13.45,456,164007.6,27.8
11.4,1255,272008,91.8
7.2,618,134740.8,45.8
8.87,743,145456.4,51.2
9.33,826,159209.1,51.9
6.35,420,164910.3,25.5
6.2,968,182953.5,52.9
11.97,412,182974.4,22.5
5.93,733,191198.1,38.4
6.87,1058,201802.3,52.4
5.45,547,206116,26.6
7.93,686,209969.5,32.7
1.37,613,230576.8,26.5
14.03,613,232224.4,26.4
10.42,1190,234406.3,50.9
11.5,859,241259,35.6
10.73,1073,296970.3,36.1
2.88,666,312678,21.3
9.03,1176,433528,27.1
5.57,1080,315543.2,34.2
22.28,774,161647.4,47.8
11.75,907,199227.2,45.6
3.05,1084,341085.4,31.8
15.55,1387,311366.6,44.6
2.3,1653,208665.3,79.1
12.05,1618,696184.8,23.2
8.7,2134,179419.6,230.3
3,1202,138567.9,86.5
11,1289,177243.5,72.8
7.3,1495,417938.5,35.8
8.85,1749,249304.3,137.4
5.02,1168,128728.9,90.5
11.17,720,95183,75.8
4.57,1626,458305.1,35.5
8.58,1679,225080.8,148.6
6.53,920,107651,85.2
7.3,826,141372.1,58.6
8.78,1508,633095.3,23.8
12.78,1097,248191.2,44.2
11.32,1626,251851.5,132.9
14.67,1127,161234.2,70
13.05,974,190096.6,51.3
19.73,581,77997,74.5
22.5,1882,288756.8,137.6
12.13,1108,177860.3,62.2
14.45,1071,233341.7,46
18.2,1348,316308.8,42.7
8.87,903,132029.7,68.4
9.02,1891,230226.4,82.2
10.43,1391,515466.9,27
2.73,773,81925.6,94.3
4.65,2275,204829.6,223.4
6.72,1777,159345.7,223.5
2.92,1102,80086.9,137.8
11.6,2175,213070.9,204.3
7.15,978,137878.7,70.9
9.68,1255,176436.1,71.3
8.95,465,211291.4,22
9.8,1026,79847.4,128.2
3.78,1995,185624.1,214.6
8.3,735,187958.9,39.1
7.15,989,107381.9,92.4
3.93,1506,169015.6,270
6.85,1052,89636.1,116.9
10.08,1213,98784.7,242.7
8.5,1423,134508.5,209.6
6.32,1022,125323.6,162
2.58,889,96690.6,91.6
8.22,892,178586.2,49.8
8.27,2389,270639,421.9
10.48,1715,208950.5,253.5
8.73,1109,109758.9,201.5
8.52,1789,210819.6,254.5
7.05,625,91961.8,67.9
7.63,647,227407.4,28.5
5.28,565,82446.1,68.9
11.15,936,173468.7,54.1
0.2,2658,235241.9,841.1
6.18,1711,188595.2,365.5
3.07,737,58429.2,127.1
4.22,601,78865,76.1
4.28,582,87243.7,66.9
8.65,886,126866,140.9
4.18,1145,135239.6,169.7
7.23,1505,282142.9,111.1
2.9,903,312975.9,28.8
6.52,426,72534.9,58.4
3.07,2214,197797.5,350.4
2.07,710,74461.1,95.9
5.02,2044,212501.6,292
2.45,1415,170422,169.1
2.23,2232,281616.6,238.7
3.42,1381,206563,133.2
6.48,711,83644.5,84.6
5.55,1803,218208.5,167.6
12.72,1497,208744.6,146
8.73,1481,159821.9,183.3
13.55,2508,249274.4,302.9
8.37,1899,190206.2,200.3
9.52,896,101556.7,87.8
12.08,2103,283405.7,149.3
8.63,1865,151637.3,271.2
4.98,586,69473.4,84.9
15.05,1360,127624.6,106.2
15.23,1283,584822.6,21.9
9.75,989,89845.9,109.9
11.33,2064,469358.1,44
2.08,1241,127490.3,195.2
5.72,1542,190860.9,241.8
8.1,1347,147151.6,183.2
6.98,1011,104822,96.3
14.12,1376,138674.1,196.8
10.63,731,69676.8,104.4
11.72,706,77236.3,91.7
9.73,544,79491.8,68.9
12.48,908,92687.6,97.6
17.35,1141,112295,101.9
14.38,915,91833.5,99.5
17.97,1156,194611.5,59.3
29.12,1367,1039219.3,13.2
25.07,1577,1541304.2,10.2
10.15,1756,299295.9,246.7
5.88,1756,205043.5,260.2
5.3,1539,204095,227
7.37,1095,154391.8,139.8
9.17,1968,232547.4,257.3
11.2,1100,177723.6,125
11.75,394,80859.9,48.6
7.28,770,86978,88.5
8.73,1564,196967.8,158.1
1.38,4316,210729.7,2062.1
3.25,925,141962.6,169.3
7.3,871,293803.5,102.7
5.92,900,137796.4,136.6
11.58,268,83803.5,31.9
1.3,2052,238415.2,781.3
2.87,2605,154028.6,1259.4
3.12,313,37975.9,82.4
2.75,398,70685.2,56.1
0.98,1012,203053.1,99.6
6.78,2172,182325.6,910
9.72,2237,214912,773.4
1.72,817,143334.4,184.5
2.55,350,74823,46.7
3.9,890,212620,90.8
6.08,2584,188944.1,1304.2
4.92,3332,115884.6,1694.6
3.22,143,39564.4,35.8
4.23,2687,270299.6,614.2
4.65,1508,94580.6,637.3
5.85,353,19633.1,176.5
1.65,1292,118995.9,419.9
9.3,4202,208296.3,1888.8
3.13,581,29424.7,200.3
6.9,520,22989.1,226.1
6.68,942,220609.1,42.6
8.65,1960,214391,276.4
7.87,1196,106724.6,223.7
0.5,1733,165918.1,337.2
9.65,2039,252763.4,249.3
5.85,2698,277277.8,294.2
4.95,1734,215482.3,161.3
3.08,1020,119671.6,85
11.53,834,85477,98.1
30.72,866,97657.2,88.4
27.02,864,116070.6,74.5
25.17,1981,221157.6,178.8
39.83,1105,122752.3,89.8
34.78,3243,281665.8,394.6
26.1,915,108197.2,84.7
32.4,2375,275258.6,172
36.8,1121,210768.9,53.1
34.63,1611,245597.7,65.5
36.82,1849,304160,60.8
26.18,1301,696968.8,18.7
16.37,1749,195717,178.4
12.95,1554,227784.6,137
7.32,802,121699,65.7
25.47,1041,127020.2,82
15.9,1001,176401.3,56.9
10.93,697,78533.9,88.2
24.9,903,116416.7,77.8
31.08,941,196250.5,48
28.97,2588,281728.1,182
27.08,1220,135502,89.7
11.05,635,60860.6,104.1
7.78,1336,221346.3,137.7
8.2,1270,172118.9,149.9
10.27,2243,265689.1,255.4
6.98,1984,197801.3,200.3
7.57,1728,232141.4,151.3
10.88,687,150421,45.8
8.57,1861,154212.4,365.8
5.6,2481,297311.5,249.3
0.98,971,145015,67
11.78,630,55793.2,112.5
3.47,977,121395.2,80.7
6.82,1105,156726.3,70.4
4.42,925,94143.6,98.4
4.08,2438,281913.6,636.3
8.37,528,70362.1,75.4
9.83,1796,260824.4,206
6.2,859,114599.4,74.7
7,2107,262803.6,256.7
8.35,531,80531.2,65.6
1.82,936,101275.2,92.7
1.73,1339,115882.1,115.4
4.6,2354,223420.2,1067.4
3.17,3457,156466.3,1618.7
2.1,3329,151672.2,1550.1
4.9,1838,175505.7,665.8
1.42,2759,187934.1,1244.7
2.2,2218,123904.5,869.5
7.88,258,94167.9,27.4
6.93,438,31649.1,136.9
4.32,2354,173981.7,1195.2
9.13,401,10739,364.5
12.05,1689,110602.3,721.4
8.88,1764,248733.6,239.8
5.17,750,64331.9,117.2
6.43,5214,156638.6,3479.4
6.8,521,38214.5,137.1
3.37,4644,173614.9,2396.5
4.43,1836,60770.7,957.4
5.3,7195,148553.3,3363.8
6.05,1883,253574.6,222.3
7.93,2002,296287.6,206
1.9,1765,261736.5,138.2
9.37,1341,295154.9,93.2
6.17,659,80090.8,82.4
7.02,731,154465.3,47.5
13.45,736,176269.4,41.8
9.57,2252,297679.2,233.2
9.2,1659,242096.4,141.5
11.08,863,102896,83.8
11.8,1809,201302.1,184.2
19.3,752,97588.7,76.7
8,1120,204953.2,54.6
21.78,1850,159389.4,233.2
15.3,2090,219006.5,197.2
19.27,846,109283.2,77.6
10.67,1263,130076.2,97.2
22.4,1436,206649,69.4
21.7,1225,160359.1,76.6
21.4,2238,226807.9,198.3
28.57,2552,253328,200.6
13,2399,277143.9,173.5
17.32,1363,145804.4,93.4
26.93,2074,155338.4,283.5
22.35,2110,152792.4,278.5
33.65,2866,289447.4,198
27.82,1442,129193.4,111.8
29.78,1790,166466.4,107.8
25.42,1306,462411.7,28.3
28.58,1969,538605.8,36.5
27.98,1499,588872.3,25.4
36.53,1416,617104.9,22.9
25.42,885,94940.2,93.2
10.62,1898,234623.8,165
14.97,1890,267300.2,141.8
11.4,1925,210319.4,183.5
29.22,3466,233570.2,293.3
27.83,1873,241940.2,154.3
26.32,1036,127686.8,80.9
5.03,1427,132846.4,107.3
13.73,1128,144974.2,77.8
29.53,1258,222244,56.7
